Item_ID,Item_W,Item_Type,Item_MRP,Outlet_ID,Outlet_Year,Outlet_Size,Outlet_Location_Type,Sales
FDU32,21.02749928,Baking Goods,197.3523191,OUT046,2004,Small,Tier 2,2689.457781
NCT54,21.10237063,Meat,148.2502137,OUT035,1987,Small,Tier 1,3437.350375
FDW08,20.88226333,Hard Drinks,205.4650095,OUT035,1999,Small,Tier 3,3129.967268
FDJ22,21.05043481,Starchy Foods,253.4175832,OUT046,1996,Small,Tier 1,1306.514376
FDF47,21.24787634,Baking Goods,240.8710392,OUT035,1988,Small,Tier 3,1739.7698289999998
DRK12,20.95639452,Baking Goods,130.2648682,OUT049,1999,Small,Tier 1,1963.629422
FDA32,21.19656237,Breads,239.2597853,OUT035,1999,Small,Tier 2,581.8878373
FDH24,20.94931841,Hard Drinks,167.2671225,OUT046,1997,Small,Tier 2,679.0550154
FDW03,20.88481106,Baking Goods,185.4538636,OUT049,1997,Small,Tier 1,1991.320168
FDE11,21.18364031,Others,239.19117200000002,OUT018,2009,Small,Tier 1,730.1489771
FDQ40,21.03407419,Baking Goods,175.31128759999999,OUT049,2009,Small,Tier 1,2396.093257
FDF56,20.96506229,Baking Goods,113.6044507,OUT049,2004,Small,Tier 2,2138.541883
FDC58,20.90920076,Baking Goods,238.1561136,OUT035,2004,Small,Tier 2,909.56746
FDG32,21.10673368,Baking Goods,129.801533,OUT046,1997,Small,Tier 3,6379.790499000001
FDS55,21.07314951,Baking Goods,153.59562250000002,OUT035,1997,Small,Tier 2,411.51086749999996
FDN46,20.91844067,Meat,213.8718496,OUT035,1999,Small,Tier 1,1562.1124300000001
NCY17,20.88913983,Hard Drinks,183.113632,OUT035,1997,Small,Tier 2,2191.208955
FDP40,20.8876575,Baking Goods,115.7605547,OUT035,1996,Small,Tier 1,3079.6522219999997
FDS35,20.974737899999997,Breads,189.4905884,OUT035,1997,Small,Tier 1,4208.230461
FDY40,21.21297499,Seafood,105.0269318,OUT013,1996,Small,Tier 2,1036.31543
DRL01,21.12065169,Meat,150.39634850000002,OUT049,1997,Small,Tier 1,4494.872357
FDY27,21.06560721,Meat,150.04796000000002,OUT046,1999,Small,Tier 1,614.2737783
FDW28,20.93566489,Baking Goods,104.0649329,OUT035,2004,Small,Tier 2,499.2862021000001
FDX09,21.04413794,Baking Goods,255.52752990000002,OUT035,1999,Small,Tier 3,2027.047752
NCI54,20.96458299,Meat,182.820973,OUT035,1996,Small,Tier 2,3528.7362869999997
FDR34,21.01572003,Breads,134.9104033,OUT035,1988,Small,Tier 2,2245.916797
FDF08,20.93210491,Baking Goods,112.11934109999999,OUT035,1987,Small,Tier 2,2736.323649
NCI54,20.94387253,Baking Goods,120.6150376,OUT035,2004,Small,Tier 1,4532.371587
NCK05,21.10862054,Meat,151.2166986,OUT046,2004,Small,Tier 2,1707.6656309999998
FDG21,21.013761,Baking Goods,211.0982639,OUT046,1997,Small,Tier 1,2371.144216
FDT34,20.94594316,Meat,142.5964862,OUT046,1997,Small,Tier 1,6741.017116
DRI47,21.02293449,Baking Goods,236.776449,OUT035,2003,Small,Tier 1,3488.8883119999996
FDQ21,21.1604913,Breads,122.0359388,OUT046,1996,Small,Tier 1,879.3646708999999
FDO32,20.87896195,Baking Goods,140.9172738,OUT035,2008,Small,Tier 2,6198.371937
FDJ04,20.99096269,Seafood,108.71885879999999,OUT049,2003,Medium,Tier 2,2150.682048
